id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link
222,Me__da__lata,"+1, acz Polska może przetrwać i rozwijać się i bez istnienia Ukrainy jako takiej, przez całe wieki naszej historii jej nie było, a Polska była. Podobnie jak były Czechy, Dania, Rosja, Szwecja i Węgry.",0,0,0,0,09-06-25,200,34,,https://nitter.net/Me__da__lata/status/1931981736365134106#m
223,myslozbir,"Niemcy się spłakały, Rosja też. Wygrana p. Nawrockiego to taki win-win 😁",0,166,8,174,08-06-25,72,12,,https://nitter.net/myslozbir/status/1931788618580074783#m
224,SuntzuMk,"My nic. Polska jest dogadana na poziomie Tuska. Do Wisły Rosja, od Wisły Niemcy",0,0,0,0,09-06-25,79,14,,https://nitter.net/SuntzuMk/status/1931981645424341042#m
225,MarcinPopadiak,"nie po to CIA wskrzesił na ukrainie trupa bandery, pompując miliardy, by ten sobie chodził po parku i gwałcił chłopców wojna z Rosją była w planach od początku ale banderland to za mało, potrzebne jest mięso z Polski czy zamach w Smoleńsku nie był częścią pokierowania kaczorem?",0,7,5,12,08-06-25,278,47,,https://nitter.net/MarcinPopadiak/status/1931797544146747507#m
226,Boena96211597,"Pisowcy tak cieszyli się z prezydentury Trumpa, któremu pajacował ⁦@elonmusk⁩ a tu proszę, Muska wspiera Rosja, jego ojciec z rosyjskimi oligarchami trzyma się za pan brat, czy ktoś jeszcze ma wątpliwości, że PiS to przystawka Putina ? next.gazeta.pl/next/7,151003…",0,1,0,1,09-06-25,265,38,,https://nitter.net/Boena96211597/status/1931981173019795871#m
227,Pantu_Niestal,"Fakt, że rosja tego nie respektuje od samego początku, zdejmuje Ukrainie moralny kaganiec.",0,0,0,0,09-06-25,90,13,,https://nitter.net/Pantu_Niestal/status/1931981236290863211#m
228,Bonkeratoo,"No nadal nie wiem, czego nie rozumiesz. Co masz na terenie oznaczonym gwiazdkami? Zagłębie przemysłowe. Byłoby spoko, jakby rosja została zmuszona do oddania go.",0,0,1,1,09-06-25,161,24,,https://nitter.net/Bonkeratoo/status/1931981100106088509#m
229,camill1197447,Obecne skręcone wybory to nic innego jak wojna z ruskimi. PiS to Rosja!,0,14,0,14,09-06-25,71,13,,https://nitter.net/camill1197447/status/1931974840581308847#m
230,Lech44934732,To co pisze polityczny prokurator to brak rozumku....Rosja? Boże jaka Rosją 😜🤣 opozycja sfałszowała wyboru🤣🤣🤣🤣🤣 słychać wycie? Znakomicie,0,0,0,0,09-06-25,137,18,,https://nitter.net/Lech44934732/status/1931980893645590958#m
231,Wiesci24pl,Niemiecki szef obrony ostrzega: Rosja może zaatakować NATO w ciągu czterech lat. Wątek Nawrockiego wiesci24.pl/2025/06/09/niemi…,0,38,2,40,09-06-25,128,15,,https://nitter.net/Wiesci24pl/status/1931924397117305318#m
232,JakubJa516955,"przyjąć nawet trudne warunki aby MÓC współpracować z UE, oraz są gotowe zaryzykować nawet wojną, aby NIE MUSIEĆ współpracować z rosją. 2/2",0,0,0,0,09-06-25,138,22,,https://nitter.net/JakubJa516955/status/1931980663940599821#m
233,DanutaWioletta,"#PrzeliczmyGlosy Każdy głos ma znaczenie,chodzi o poczucie sprawczości obywatelskiej i o zaufanie do demokratycznych procedur. Albo to mamy albo Rosja już tu jest.",0,8,0,8,09-06-25,163,23,,https://nitter.net/DanutaWioletta/status/1931959212529098875#m
234,JakubJa516955,"A co ma MFW do narzucania komukolwiek warunków ba podpisanie umowy między tym kimś, a UE? Poza tym, tak. W dobrobycie. Zacieśnienie współpracy z UE oznaczało zawsze skokowy wzrost poziomu życia. W przeciwieństwie do współpracy z rosją. To dlatego liczne kraje są gotowe 1/2",0,0,1,1,09-06-25,273,44,,https://nitter.net/JakubJa516955/status/1931980258468643067#m
235,DanutaWioletta,"#PrzeliczmyGlosy Każdy głos ma znaczenie,chodzi o poczucie sprawczości obywatelskiej i o zaufanie do demokratycznych procedur. Albo to mamy albo Rosja już tu jest.",0,8,0,8,09-06-25,163,23,,https://nitter.net/DanutaWioletta/status/1931959212529098875#m
236,NoweAteny,"Zeleński ze swoim żydowskim komisariatem nie chce odebrać ciał poległych Rusinów, bo nie można już na nich zarobić, nic wyciąć i trzeba płacić odszkodowania - więc Rosja publikuje ich dane, żeby rodziny upomniały się o swoich bliskich oraz o odszkodowania z budżetu Ukrainy.",1,34,0,35,08-06-25,274,43,,https://nitter.net/NoweAteny/status/1931759017262539154#m
237,Odoaker,"A kto nam Polakom da gwarancję, że TO 👇 właśnie nie jest ta Rosja?? Coś za dużo o tym mówią, żeby nie zaczęło to być podejrzane.",0,0,0,0,09-06-25,128,26,,https://nitter.net/Odoaker/status/1931982791584924113#m
238,tojamichal,"To niech się wyprowadzi do tego raju, tylko musi uważać żeby kiedyś niechcący nie wypaść z okna. Rosja wspaniały kraj, tylko sporo różnych dziwnych wypadków się zdarza.",0,0,0,0,09-06-25,168,27,,https://nitter.net/tojamichal/status/1931982597619347541#m
239,bp_martyna,"A tymczasem w @tvp_info w likwidacji zabłysnęła @M_Prokop_P z @__Lewica twierdząc, że „Reparacje wojenne należą się krajom, które przegrały wojnę. My wraz z USA, Wielką Brytanią, Rosją sowiecką tę wojnę wygraliśmy”! Niedługo to my będziemy niemcom płacić! Dzień dobry.",25,398,128,551,08-06-25,268,39,,https://nitter.net/bp_martyna/status/1931603632169918974#m
240,ZbigJ,Rosja już tu jest @ZbigJ 2m,0,0,0,0,09-06-25,27,6,,https://nitter.net/ZbigJ/status/1931982514177868013#m
241,JadeitGwynPLn,Ukraina musi istnieć jako państwo inne niż Rosja,0,0,0,0,09-06-25,48,8,,https://nitter.net/JadeitGwynPLn/status/1931982358246285644#m
242,stif0150_stefan,"W DRUGIEJ WOJNIE ŚWIATOWEJ FASZYSTOWSKO -KOMUNISTYCZNI NIEMCY, ROSJA SĄ ODPOWIEDNIE ZA 70 MILIONÓW OFIAR, PONAD MILIARD SKRZYWDZONO - W POLSCE 6,2 MILIONA OFIAR,6,2 BILIONA ZŁOTYCH-REPARACJI NIE ZAPŁACONYCH PRZEZ NIEMCÓW,! LĄDOWANIE AMERYKANÓW W NORMANDII -WYZWOLIŁO EUROPĘ!!",0,0,1,1,09-06-25,275,35,,https://nitter.net/stif0150_stefan/status/1931982357394804933#m
243,RM44590,"Rosja zgodziła się przekazać ciała około 6000 ukraińskich żołnierzy w ramach zakrojowej na szeroką skalę wymiany. Strona ukraińska odmówiła bez żadnego wyjaśnienia. Nie ma na świecie narodu ani grupy etnicznej, która odmówiła by pochowania swoich bohaterów którzy zginęli za kraj.",4,89,36,129,08-06-25,280,40,,https://nitter.net/RM44590/status/1931646666592985251#m
244,sympatykdemo,"Ukraina musi przetrwać, bo inaczej będziemy graniczyć z Rosją i nas napadnie!!!",0,0,0,0,09-06-25,79,12,,https://nitter.net/sympatykdemo/status/1931982178562256993#m
245,MalibuGG1,"A wiesz, że komunizm powstał jako idea w narodzie, który ma religię zakorzenioną w 4 tysięcznej historii i Rosja już nie jest tym samym państwem co za komunizmu.",0,0,1,1,09-06-25,161,28,,https://nitter.net/MalibuGG1/status/1931981989055181177#m
246,ZbigJ,Święcenie kremówki w Rzeszowie. 😥😓😪😥😓😪,0,0,1,1,09-06-25,38,5,,https://nitter.net/ZbigJ/status/1931981952367673688#m
247,Laweta2,"Plan ewakuacji Rządu RP na wypadek wojny z Rosją!!! ( artykuł 24 .04.2015r ) Jak zwykle, zwykli ludzie zostaną bronić kraju i stawiać barykady, a władza będzie już wtedy w drodze do miejsc ewakuacji. gloria.tv/share/gvWW1g49cQVA…",0,1,1,2,09-06-25,229,35,,https://nitter.net/Laweta2/status/1931981843693175147#m
248,Me__da__lata,"+1, acz Polska może przetrwać i rozwijać się i bez istnienia Ukrainy jako takiej, przez całe wieki naszej historii jej nie było, a Polska była. Podobnie jak były Czechy, Dania, Rosja, Szwecja i Węgry.",0,0,0,0,09-06-25,200,34,,https://nitter.net/Me__da__lata/status/1931981736365134106#m
249,myslozbir,"Niemcy się spłakały, Rosja też. Wygrana p. Nawrockiego to taki win-win 😁",0,166,8,174,08-06-25,72,12,,https://nitter.net/myslozbir/status/1931788618580074783#m
250,SuntzuMk,"My nic. Polska jest dogadana na poziomie Tuska. Do Wisły Rosja, od Wisły Niemcy",0,0,0,0,09-06-25,79,14,,https://nitter.net/SuntzuMk/status/1931981645424341042#m
251,MarcinPopadiak,"nie po to CIA wskrzesił na ukrainie trupa bandery, pompując miliardy, by ten sobie chodził po parku i gwałcił chłopców wojna z Rosją była w planach od początku ale banderland to za mało, potrzebne jest mięso z Polski czy zamach w Smoleńsku nie był częścią pokierowania kaczorem?",0,7,5,12,08-06-25,278,47,,https://nitter.net/MarcinPopadiak/status/1931797544146747507#m
252,Boena96211597,"Pisowcy tak cieszyli się z prezydentury Trumpa, któremu pajacował ⁦@elonmusk⁩ a tu proszę, Muska wspiera Rosja, jego ojciec z rosyjskimi oligarchami trzyma się za pan brat, czy ktoś jeszcze ma wątpliwości, że PiS to przystawka Putina ? next.gazeta.pl/next/7,151003…",0,1,0,1,09-06-25,265,38,,https://nitter.net/Boena96211597/status/1931981173019795871#m
253,Pantu_Niestal,"Fakt, że rosja tego nie respektuje od samego początku, zdejmuje Ukrainie moralny kaganiec.",0,0,0,0,09-06-25,90,13,,https://nitter.net/Pantu_Niestal/status/1931981236290863211#m
254,Bonkeratoo,"No nadal nie wiem, czego nie rozumiesz. Co masz na terenie oznaczonym gwiazdkami? Zagłębie przemysłowe. Byłoby spoko, jakby rosja została zmuszona do oddania go.",0,0,1,1,09-06-25,161,24,,https://nitter.net/Bonkeratoo/status/1931981100106088509#m
255,camill1197447,Obecne skręcone wybory to nic innego jak wojna z ruskimi. PiS to Rosja!,0,14,0,14,09-06-25,71,13,,https://nitter.net/camill1197447/status/1931974840581308847#m
256,Lech44934732,To co pisze polityczny prokurator to brak rozumku....Rosja? Boże jaka Rosją 😜🤣 opozycja sfałszowała wyboru🤣🤣🤣🤣🤣 słychać wycie? Znakomicie,0,0,0,0,09-06-25,137,18,,https://nitter.net/Lech44934732/status/1931980893645590958#m
257,Wiesci24pl,Niemiecki szef obrony ostrzega: Rosja może zaatakować NATO w ciągu czterech lat. Wątek Nawrockiego wiesci24.pl/2025/06/09/niemi…,0,38,2,40,09-06-25,128,15,,https://nitter.net/Wiesci24pl/status/1931924397117305318#m
258,JakubJa516955,"przyjąć nawet trudne warunki aby MÓC współpracować z UE, oraz są gotowe zaryzykować nawet wojną, aby NIE MUSIEĆ współpracować z rosją. 2/2",0,0,0,0,09-06-25,138,22,,https://nitter.net/JakubJa516955/status/1931980663940599821#m
259,DanutaWioletta,"#PrzeliczmyGlosy Każdy głos ma znaczenie,chodzi o poczucie sprawczości obywatelskiej i o zaufanie do demokratycznych procedur. Albo to mamy albo Rosja już tu jest.",0,8,0,8,09-06-25,163,23,,https://nitter.net/DanutaWioletta/status/1931959212529098875#m
260,JakubJa516955,"A co ma MFW do narzucania komukolwiek warunków ba podpisanie umowy między tym kimś, a UE? Poza tym, tak. W dobrobycie. Zacieśnienie współpracy z UE oznaczało zawsze skokowy wzrost poziomu życia. W przeciwieństwie do współpracy z rosją. To dlatego liczne kraje są gotowe 1/2",0,0,1,1,09-06-25,273,44,,https://nitter.net/JakubJa516955/status/1931980258468643067#m
261,DanutaWioletta,"#PrzeliczmyGlosy Każdy głos ma znaczenie,chodzi o poczucie sprawczości obywatelskiej i o zaufanie do demokratycznych procedur. Albo to mamy albo Rosja już tu jest.",0,8,0,8,09-06-25,163,23,,https://nitter.net/DanutaWioletta/status/1931959212529098875#m
262,ChadoslawBased,"Tak z pewnością Rosja najedzie też na Niemcy i stamtąd aż do Lizbony. I będzie to wszystko okupować, kraj z gospodarką wielkości niemieckiego landu. Idź się leczyć.",0,0,0,0,09-06-25,164,27,,https://nitter.net/ChadoslawBased/status/1931982816352354587#m
263,NoweAteny,"Zeleński ze swoim żydowskim komisariatem nie chce odebrać ciał poległych Rusinów, bo nie można już na nich zarobić, nic wyciąć i trzeba płacić odszkodowania - więc Rosja publikuje ich dane, żeby rodziny upomniały się o swoich bliskich oraz o odszkodowania z budżetu Ukrainy.",1,34,0,35,08-06-25,274,43,,https://nitter.net/NoweAteny/status/1931759017262539154#m
264,Odoaker,"A kto nam Polakom da gwarancję, że TO 👇 właśnie nie jest ta Rosja?? Coś za dużo o tym mówią, żeby nie zaczęło to być podejrzane.",0,0,0,0,09-06-25,128,26,,https://nitter.net/Odoaker/status/1931982791584924113#m
265,tojamichal,"To niech się wyprowadzi do tego raju, tylko musi uważać żeby kiedyś niechcący nie wypaść z okna. Rosja wspaniały kraj, tylko sporo różnych dziwnych wypadków się zdarza.",0,0,0,0,09-06-25,168,27,,https://nitter.net/tojamichal/status/1931982597619347541#m
266,bp_martyna,"A tymczasem w @tvp_info w likwidacji zabłysnęła @M_Prokop_P z @__Lewica twierdząc, że „Reparacje wojenne należą się krajom, które przegrały wojnę. My wraz z USA, Wielką Brytanią, Rosją sowiecką tę wojnę wygraliśmy”! Niedługo to my będziemy niemcom płacić! Dzień dobry.",25,398,128,551,08-06-25,268,39,,https://nitter.net/bp_martyna/status/1931603632169918974#m
267,ZbigJ,Rosja już tu jest @ZbigJ 2m,0,0,0,0,09-06-25,27,6,,https://nitter.net/ZbigJ/status/1931982514177868013#m
268,JadeitGwynPLn,Ukraina musi istnieć jako państwo inne niż Rosja,0,0,0,0,09-06-25,48,8,,https://nitter.net/JadeitGwynPLn/status/1931982358246285644#m
269,stif0150_stefan,"W DRUGIEJ WOJNIE ŚWIATOWEJ FASZYSTOWSKO -KOMUNISTYCZNI NIEMCY, ROSJA SĄ ODPOWIEDNIE ZA 70 MILIONÓW OFIAR, PONAD MILIARD SKRZYWDZONO - W POLSCE 6,2 MILIONA OFIAR,6,2 BILIONA ZŁOTYCH-REPARACJI NIE ZAPŁACONYCH PRZEZ NIEMCÓW,! LĄDOWANIE AMERYKANÓW W NORMANDII -WYZWOLIŁO EUROPĘ!!",0,0,1,1,09-06-25,275,35,,https://nitter.net/stif0150_stefan/status/1931982357394804933#m
270,RM44590,"Rosja zgodziła się przekazać ciała około 6000 ukraińskich żołnierzy w ramach zakrojowej na szeroką skalę wymiany. Strona ukraińska odmówiła bez żadnego wyjaśnienia. Nie ma na świecie narodu ani grupy etnicznej, która odmówiła by pochowania swoich bohaterów którzy zginęli za kraj.",4,89,36,129,08-06-25,280,40,,https://nitter.net/RM44590/status/1931646666592985251#m
271,sympatykdemo,"Ukraina musi przetrwać, bo inaczej będziemy graniczyć z Rosją i nas napadnie!!!",0,0,0,0,09-06-25,79,12,,https://nitter.net/sympatykdemo/status/1931982178562256993#m
272,MalibuGG1,"A wiesz, że komunizm powstał jako idea w narodzie, który ma religię zakorzenioną w 4 tysięcznej historii i Rosja już nie jest tym samym państwem co za komunizmu.",0,0,1,1,09-06-25,161,28,,https://nitter.net/MalibuGG1/status/1931981989055181177#m
273,ZbigJ,Święcenie kremówki w Rzeszowie. 😥😓😪😥😓😪,0,0,1,1,09-06-25,38,5,,https://nitter.net/ZbigJ/status/1931981952367673688#m
274,Adam61216121,"> Rybar Force Kronika ""Specjalnej Operacji Wojskowej"" Sił Zbrojnych Rosji na Ukrainie - wzmocnienie frontowa w dniu 7 czerwca 2025 roku. #NATO #Rosja #Ukraina #wojna <",0,1,1,2,09-06-25,167,26,,https://nitter.net/Adam61216121/status/1931979540756124081#m
275,Laweta2,"Plan ewakuacji Rządu RP na wypadek wojny z Rosją!!! ( artykuł 24 .04.2015r ) Jak zwykle, zwykli ludzie zostaną bronić kraju i stawiać barykady, a władza będzie już wtedy w drodze do miejsc ewakuacji. gloria.tv/share/gvWW1g49cQVA…",0,1,1,2,09-06-25,229,35,,https://nitter.net/Laweta2/status/1931981843693175147#m
276,Me__da__lata,"+1, acz Polska może przetrwać i rozwijać się i bez istnienia Ukrainy jako takiej, przez całe wieki naszej historii jej nie było, a Polska była. Podobnie jak były Czechy, Dania, Rosja, Szwecja i Węgry.",0,0,0,0,09-06-25,200,34,,https://nitter.net/Me__da__lata/status/1931981736365134106#m
277,myslozbir,"Niemcy się spłakały, Rosja też. Wygrana p. Nawrockiego to taki win-win 😁",0,166,8,174,08-06-25,72,12,,https://nitter.net/myslozbir/status/1931788618580074783#m
278,SuntzuMk,"My nic. Polska jest dogadana na poziomie Tuska. Do Wisły Rosja, od Wisły Niemcy",0,0,0,0,09-06-25,79,14,,https://nitter.net/SuntzuMk/status/1931981645424341042#m
279,MarcinPopadiak,"nie po to CIA wskrzesił na ukrainie trupa bandery, pompując miliardy, by ten sobie chodził po parku i gwałcił chłopców wojna z Rosją była w planach od początku ale banderland to za mało, potrzebne jest mięso z Polski czy zamach w Smoleńsku nie był częścią pokierowania kaczorem?",0,7,5,12,08-06-25,278,47,,https://nitter.net/MarcinPopadiak/status/1931797544146747507#m
280,Boena96211597,"Pisowcy tak cieszyli się z prezydentury Trumpa, któremu pajacował ⁦@elonmusk⁩ a tu proszę, Muska wspiera Rosja, jego ojciec z rosyjskimi oligarchami trzyma się za pan brat, czy ktoś jeszcze ma wątpliwości, że PiS to przystawka Putina ? next.gazeta.pl/next/7,151003…",0,1,0,1,09-06-25,265,38,,https://nitter.net/Boena96211597/status/1931981173019795871#m
281,Pantu_Niestal,"Fakt, że rosja tego nie respektuje od samego początku, zdejmuje Ukrainie moralny kaganiec.",0,0,0,0,09-06-25,90,13,,https://nitter.net/Pantu_Niestal/status/1931981236290863211#m
282,Bonkeratoo,"No nadal nie wiem, czego nie rozumiesz. Co masz na terenie oznaczonym gwiazdkami? Zagłębie przemysłowe. Byłoby spoko, jakby rosja została zmuszona do oddania go.",0,0,1,1,09-06-25,161,24,,https://nitter.net/Bonkeratoo/status/1931981100106088509#m
283,camill1197447,Obecne skręcone wybory to nic innego jak wojna z ruskimi. PiS to Rosja!,0,14,0,14,09-06-25,71,13,,https://nitter.net/camill1197447/status/1931974840581308847#m
284,Lech44934732,To co pisze polityczny prokurator to brak rozumku....Rosja? Boże jaka Rosją 😜🤣 opozycja sfałszowała wyboru🤣🤣🤣🤣🤣 słychać wycie? Znakomicie,0,0,0,0,09-06-25,137,18,,https://nitter.net/Lech44934732/status/1931980893645590958#m
285,Wiesci24pl,Niemiecki szef obrony ostrzega: Rosja może zaatakować NATO w ciągu czterech lat. Wątek Nawrockiego wiesci24.pl/2025/06/09/niemi…,0,38,2,40,09-06-25,128,15,,https://nitter.net/Wiesci24pl/status/1931924397117305318#m
286,JakubJa516955,"przyjąć nawet trudne warunki aby MÓC współpracować z UE, oraz są gotowe zaryzykować nawet wojną, aby NIE MUSIEĆ współpracować z rosją. 2/2",0,0,0,0,09-06-25,138,22,,https://nitter.net/JakubJa516955/status/1931980663940599821#m
287,DanutaWioletta,"#PrzeliczmyGlosy Każdy głos ma znaczenie,chodzi o poczucie sprawczości obywatelskiej i o zaufanie do demokratycznych procedur. Albo to mamy albo Rosja już tu jest.",0,8,0,8,09-06-25,163,23,,https://nitter.net/DanutaWioletta/status/1931959212529098875#m
288,DanutaWioletta,"#PrzeliczmyGlosy Każdy głos ma znaczenie,chodzi o poczucie sprawczości obywatelskiej i o zaufanie do demokratycznych procedur. Albo to mamy albo Rosja już tu jest.",0,8,0,8,09-06-25,163,23,,https://nitter.net/DanutaWioletta/status/1931959212529098875#m
289,NoweAteny,"Zeleński ze swoim żydowskim komisariatem nie chce odebrać ciał poległych Rusinów, bo nie można już na nich zarobić, nic wyciąć i trzeba płacić odszkodowania - więc Rosja publikuje ich dane, żeby rodziny upomniały się o swoich bliskich oraz o odszkodowania z budżetu Ukrainy.",1,34,0,35,08-06-25,274,43,,https://nitter.net/NoweAteny/status/1931759017262539154#m
290,Odoaker,"A kto nam Polakom da gwarancję, że TO 👇 właśnie nie jest ta Rosja?? Coś za dużo o tym mówią, żeby nie zaczęło to być podejrzane.",0,0,0,0,09-06-25,128,26,,https://nitter.net/Odoaker/status/1931982791584924113#m
291,tojamichal,"To niech się wyprowadzi do tego raju, tylko musi uważać żeby kiedyś niechcący nie wypaść z okna. Rosja wspaniały kraj, tylko sporo różnych dziwnych wypadków się zdarza.",0,0,0,0,09-06-25,168,27,,https://nitter.net/tojamichal/status/1931982597619347541#m
292,bp_martyna,"A tymczasem w @tvp_info w likwidacji zabłysnęła @M_Prokop_P z @__Lewica twierdząc, że „Reparacje wojenne należą się krajom, które przegrały wojnę. My wraz z USA, Wielką Brytanią, Rosją sowiecką tę wojnę wygraliśmy”! Niedługo to my będziemy niemcom płacić! Dzień dobry.",25,398,128,551,08-06-25,268,39,,https://nitter.net/bp_martyna/status/1931603632169918974#m
293,ZbigJ,Rosja już tu jest @ZbigJ 2m,0,0,0,0,09-06-25,27,6,,https://nitter.net/ZbigJ/status/1931982514177868013#m
294,JadeitGwynPLn,Ukraina musi istnieć jako państwo inne niż Rosja,0,0,0,0,09-06-25,48,8,,https://nitter.net/JadeitGwynPLn/status/1931982358246285644#m
295,stif0150_stefan,"W DRUGIEJ WOJNIE ŚWIATOWEJ FASZYSTOWSKO -KOMUNISTYCZNI NIEMCY, ROSJA SĄ ODPOWIEDNIE ZA 70 MILIONÓW OFIAR, PONAD MILIARD SKRZYWDZONO - W POLSCE 6,2 MILIONA OFIAR,6,2 BILIONA ZŁOTYCH-REPARACJI NIE ZAPŁACONYCH PRZEZ NIEMCÓW,! LĄDOWANIE AMERYKANÓW W NORMANDII -WYZWOLIŁO EUROPĘ!!",0,0,1,1,09-06-25,275,35,,https://nitter.net/stif0150_stefan/status/1931982357394804933#m
296,RM44590,"Rosja zgodziła się przekazać ciała około 6000 ukraińskich żołnierzy w ramach zakrojowej na szeroką skalę wymiany. Strona ukraińska odmówiła bez żadnego wyjaśnienia. Nie ma na świecie narodu ani grupy etnicznej, która odmówiła by pochowania swoich bohaterów którzy zginęli za kraj.",4,89,36,129,08-06-25,280,40,,https://nitter.net/RM44590/status/1931646666592985251#m
297,sympatykdemo,"Ukraina musi przetrwać, bo inaczej będziemy graniczyć z Rosją i nas napadnie!!!",0,0,0,0,09-06-25,79,12,,https://nitter.net/sympatykdemo/status/1931982178562256993#m
298,MalibuGG1,"A wiesz, że komunizm powstał jako idea w narodzie, który ma religię zakorzenioną w 4 tysięcznej historii i Rosja już nie jest tym samym państwem co za komunizmu.",0,0,1,1,09-06-25,161,28,,https://nitter.net/MalibuGG1/status/1931981989055181177#m
299,ZbigJ,Święcenie kremówki w Rzeszowie. 😥😓😪😥😓😪,0,0,1,1,09-06-25,38,5,,https://nitter.net/ZbigJ/status/1931981952367673688#m
300,Laweta2,"Plan ewakuacji Rządu RP na wypadek wojny z Rosją!!! ( artykuł 24 .04.2015r ) Jak zwykle, zwykli ludzie zostaną bronić kraju i stawiać barykady, a władza będzie już wtedy w drodze do miejsc ewakuacji. gloria.tv/share/gvWW1g49cQVA…",0,1,1,2,09-06-25,229,35,,https://nitter.net/Laweta2/status/1931981843693175147#m
301,Me__da__lata,"+1, acz Polska może przetrwać i rozwijać się i bez istnienia Ukrainy jako takiej, przez całe wieki naszej historii jej nie było, a Polska była. Podobnie jak były Czechy, Dania, Rosja, Szwecja i Węgry.",0,0,0,0,09-06-25,200,34,,https://nitter.net/Me__da__lata/status/1931981736365134106#m
302,myslozbir,"Niemcy się spłakały, Rosja też. Wygrana p. Nawrockiego to taki win-win 😁",0,166,8,174,08-06-25,72,12,,https://nitter.net/myslozbir/status/1931788618580074783#m
303,SuntzuMk,"My nic. Polska jest dogadana na poziomie Tuska. Do Wisły Rosja, od Wisły Niemcy",0,0,0,0,09-06-25,79,14,,https://nitter.net/SuntzuMk/status/1931981645424341042#m
304,MarcinPopadiak,"nie po to CIA wskrzesił na ukrainie trupa bandery, pompując miliardy, by ten sobie chodził po parku i gwałcił chłopców wojna z Rosją była w planach od początku ale banderland to za mało, potrzebne jest mięso z Polski czy zamach w Smoleńsku nie był częścią pokierowania kaczorem?",0,7,5,12,08-06-25,278,47,,https://nitter.net/MarcinPopadiak/status/1931797544146747507#m
305,Boena96211597,"Pisowcy tak cieszyli się z prezydentury Trumpa, któremu pajacował ⁦@elonmusk⁩ a tu proszę, Muska wspiera Rosja, jego ojciec z rosyjskimi oligarchami trzyma się za pan brat, czy ktoś jeszcze ma wątpliwości, że PiS to przystawka Putina ? next.gazeta.pl/next/7,151003…",0,1,0,1,09-06-25,265,38,,https://nitter.net/Boena96211597/status/1931981173019795871#m
306,Pantu_Niestal,"Fakt, że rosja tego nie respektuje od samego początku, zdejmuje Ukrainie moralny kaganiec.",0,0,0,0,09-06-25,90,13,,https://nitter.net/Pantu_Niestal/status/1931981236290863211#m
307,Bonkeratoo,"No nadal nie wiem, czego nie rozumiesz. Co masz na terenie oznaczonym gwiazdkami? Zagłębie przemysłowe. Byłoby spoko, jakby rosja została zmuszona do oddania go.",0,0,1,1,09-06-25,161,24,,https://nitter.net/Bonkeratoo/status/1931981100106088509#m
308,camill1197447,Obecne skręcone wybory to nic innego jak wojna z ruskimi. PiS to Rosja!,0,14,0,14,09-06-25,71,13,,https://nitter.net/camill1197447/status/1931974840581308847#m
309,Lech44934732,To co pisze polityczny prokurator to brak rozumku....Rosja? Boże jaka Rosją 😜🤣 opozycja sfałszowała wyboru🤣🤣🤣🤣🤣 słychać wycie? Znakomicie,0,0,0,0,09-06-25,137,18,,https://nitter.net/Lech44934732/status/1931980893645590958#m
310,Wiesci24pl,Niemiecki szef obrony ostrzega: Rosja może zaatakować NATO w ciągu czterech lat. Wątek Nawrockiego wiesci24.pl/2025/06/09/niemi…,0,38,2,40,09-06-25,128,15,,https://nitter.net/Wiesci24pl/status/1931924397117305318#m
311,JakubJa516955,"przyjąć nawet trudne warunki aby MÓC współpracować z UE, oraz są gotowe zaryzykować nawet wojną, aby NIE MUSIEĆ współpracować z rosją. 2/2",0,0,0,0,09-06-25,138,22,,https://nitter.net/JakubJa516955/status/1931980663940599821#m
312,DanutaWioletta,"#PrzeliczmyGlosy Każdy głos ma znaczenie,chodzi o poczucie sprawczości obywatelskiej i o zaufanie do demokratycznych procedur. Albo to mamy albo Rosja już tu jest.",0,8,0,8,09-06-25,163,23,,https://nitter.net/DanutaWioletta/status/1931959212529098875#m
313,DanutaWioletta,"#PrzeliczmyGlosy Każdy głos ma znaczenie,chodzi o poczucie sprawczości obywatelskiej i o zaufanie do demokratycznych procedur. Albo to mamy albo Rosja już tu jest.",0,8,0,8,09-06-25,163,23,,https://nitter.net/DanutaWioletta/status/1931959212529098875#m
314,NoweAteny,"Zeleński ze swoim żydowskim komisariatem nie chce odebrać ciał poległych Rusinów, bo nie można już na nich zarobić, nic wyciąć i trzeba płacić odszkodowania - więc Rosja publikuje ich dane, żeby rodziny upomniały się o swoich bliskich oraz o odszkodowania z budżetu Ukrainy.",1,34,0,35,08-06-25,274,43,,https://nitter.net/NoweAteny/status/1931759017262539154#m
315,Odoaker,"A kto nam Polakom da gwarancję, że TO 👇 właśnie nie jest ta Rosja?? Coś za dużo o tym mówią, żeby nie zaczęło to być podejrzane.",0,0,0,0,09-06-25,128,26,,https://nitter.net/Odoaker/status/1931982791584924113#m
316,tojamichal,"To niech się wyprowadzi do tego raju, tylko musi uważać żeby kiedyś niechcący nie wypaść z okna. Rosja wspaniały kraj, tylko sporo różnych dziwnych wypadków się zdarza.",0,0,0,0,09-06-25,168,27,,https://nitter.net/tojamichal/status/1931982597619347541#m
